School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,States
Adelphi University,Northeastern,"$40,600.00 ","$79,200.00 ","$44,200.00 ","$54,800.00 ","$114,000.00 ","$160,000.00 ",NY
"American University, Washington D.C.",Southern,"$45,300.00 ","$90,800.00 ","$45,200.00 ","$62,400.00 ","$134,000.00 ","$169,000.00 ",DC
Amherst College,Northeastern,"$54,500.00 ","$107,000.00 ",,"$84,900.00 ","$162,000.00 ",,MA
Appalachian State University,Southern,"$40,400.00 ","$69,100.00 ","$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 ",NC
Arizona State University (ASU),Western,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 ",CA
Arkansas State University (ASU),Southern,"$38,700.00 ","$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 ",AR
Auburn University,Southern,"$45,400.00 ","$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 ",IA
Austin Peay State University,Southern,"$37,700.00 ","$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 ",TN
Ball State University (BSU),Midwestern,"$39,100.00 ","$64,500.00 ","$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 ",IN
Bates College,Northeastern,"$47,300.00 ","$96,500.00 ",,"$60,700.00 ","$162,000.00 ",,CA
Baylor University,Southern,"$48,300.00 ","$88,600.00 ","$46,300.00 ","$60,700.00 ","$130,000.00 ","$200,000.00 ",CA
Binghamton University,Northeastern,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 ",VA
Black Hills State University,Midwestern,"$35,300.00 ","$43,900.00 ",,"$32,200.00 ","$60,900.00 ",,SD
Boise State University (BSU),Western,"$40,800.00 ","$69,500.00 ","$37,400.00 ","$48,700.00 ","$87,500.00 ","$110,000.00 ",TX
Boston College,Northeastern,"$52,700.00 ","$103,000.00 ","$48,900.00 ","$70,000.00 ","$143,000.00 ","$195,000.00 ",MA
Boston University,Northeastern,"$49,000.00 ","$93,900.00 ","$48,000.00 ","$64,900.00 ","$130,000.00 ","$193,000.00 ",MA
Bowdoin College,Northeastern,"$48,100.00 ","$107,000.00 ",,"$74,600.00 ","$146,000.00 ",,ME
Bowling Green State University,Midwestern,"$39,800.00 ","$72,100.00 ","$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 ",IN
Bradley University,Midwestern,"$47,000.00 ","$87,300.00 ","$45,900.00 ","$64,900.00 ","$113,000.00 ","$151,000.00 ",MD
Brigham Young University (BYU),Western,"$49,400.00 ","$88,600.00 ","$50,600.00 ","$68,500.00 ","$119,000.00 ","$164,000.00 ",UT
Brown University,Northeastern,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 ",RI
Bucknell University,Northeastern,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 ",PA
Cal Poly San Luis Obispo,California,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 ",CA
California Institute of Technology (CIT),California,"$75,500.00 ","$123,000.00 ",,"$104,000.00 ","$161,000.00 ",,CA
"California State University (CSU), Chico",California,"$47,400.00 ","$88,100.00 ","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 ",AZ
"California State University (CSU), Stanislaus",California,"$38,000.00 ","$71,400.00 ",,"$50,500.00 ","$94,100.00 ",,NY
"California State University, Dominguez Hills (CSUDH)",California,"$42,700.00 ","$72,100.00 ","$30,800.00 ","$47,000.00 ","$92,200.00 ","$132,000.00 ",CA
"California State University, East Bay (CSUEB)",California,"$49,200.00 ","$84,300.00 ","$46,000.00 ","$62,400.00 ","$115,000.00 ","$155,000.00 ",NY
"California State University, Fullerton (CSUF)",California,"$45,700.00 ","$87,000.00 ","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 ",PA
"California State University, Long Beach (CSULB)",California,"$45,100.00 ","$84,700.00 ","$47,400.00 ","$62,500.00 ","$113,000.00 ","$154,000.00 ",ND
"California State University, Northridge (CSUN)",California,"$45,500.00 ","$80,400.00 ","$44,500.00 ","$57,800.00 ","$108,000.00 ","$153,000.00 ",CA
"California State University, Sacramento (CSUS)",California,"$47,800.00 ","$82,400.00 ","$42,900.00 ","$59,600.00 ","$111,000.00 ","$154,000.00 ",CA
Carleton College,Midwestern,"$47,500.00 ","$103,000.00 ",,"$69,400.00 ","$141,000.00 ",,AZ
Carnegie Mellon University (CMU),Northeastern,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 ",PA
Case Western Reserve University,Midwestern,"$56,200.00 ","$96,500.00 ","$54,900.00 ","$76,500.00 ","$123,000.00 ","$168,000.00 ",OH
Clemson University,Southern,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 ",SC
Cleveland State University,Midwestern,"$43,500.00 ","$73,100.00 ","$39,500.00 ","$51,600.00 ","$97,000.00 ","$137,000.00 ",WA
Colby College,Northeastern,"$46,400.00 ","$85,800.00 ",,"$63,500.00 ","$129,000.00 ",,ME
Colgate University,Northeastern,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 ",NY
College of the Holy Cross,Northeastern,"$50,200.00 ","$106,000.00 ",,"$65,600.00 ","$143,000.00 ",,MA
Colorado College (CC),Western,"$38,500.00 ","$81,400.00 ",,"$43,000.00 ","$148,000.00 ",,IL
Colorado School of Mines,Western,"$58,100.00 ","$106,000.00 ","$62,200.00 ","$87,900.00 ","$142,000.00 ","$201,000.00 ",CO
Colorado State University (CSU),Western,"$44,800.00 ","$79,000.00 ","$43,800.00 ","$57,100.00 ","$112,000.00 ","$150,000.00 ",CO
Columbia University,Northeastern,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 ",NY
Cooper Union,Northeastern,"$62,200.00 ","$114,000.00 ",,"$80,200.00 ","$142,000.00 ",,NY
Cornell University,Northeastern,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 ",NY
Dallas Baptist University,Southern,"$39,400.00 ","$60,200.00 ","$38,500.00 ","$50,300.00 ","$81,800.00 ","$98,100.00 ",TX
Dartmouth College,Northeastern,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 ",NH
Davenport University,Midwestern,"$39,700.00 ","$46,600.00 ","$31,600.00 ","$38,100.00 ","$65,600.00 ","$85,700.00 ",MI
Davidson College,Southern,"$46,100.00 ","$104,000.00 ",,"$70,500.00 ","$146,000.00 ",,NC
Denison University,Midwestern,"$42,000.00 ","$83,500.00 ",,"$62,100.00 ","$122,000.00 ",,CO
DePaul University,Midwestern,"$46,400.00 ","$84,800.00 ","$50,300.00 ","$63,900.00 ","$115,000.00 ","$160,000.00 ",IL
DePauw University,Midwestern,"$41,400.00 ","$88,200.00 ","$49,500.00 ","$57,400.00 ","$133,000.00 ","$185,000.00 ",WI
Dowling College,Northeastern,"$41,100.00 ","$82,800.00 ","$46,500.00 ","$60,600.00 ","$117,000.00 ","$142,000.00 ",NY
Drexel University,Northeastern,"$53,400.00 ","$93,500.00 ","$54,900.00 ","$72,500.00 ","$122,000.00 ","$161,000.00 ",IL
Duke University,Southern,"$58,900.00 ","$106,000.00 ","$56,000.00 ","$77,400.00 ","$149,000.00 ","$218,000.00 ",NC
Duquesne University,Northeastern,"$40,700.00 ","$84,400.00 ","$42,600.00 ","$59,500.00 ","$107,000.00 ","$131,000.00 ",PA
East Carolina University (ECU),Southern,"$40,200.00 ","$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 ",NC
Eastern Michigan University,Midwestern,"$40,300.00 ","$72,100.00 ","$37,900.00 ","$52,800.00 ","$95,400.00 ","$135,000.00 ",MI
Eastern Washington University,Western,"$38,600.00 ","$70,900.00 ","$36,000.00 ","$50,500.00 ","$93,100.00 ","$117,000.00 ",WA
Emory University,Southern,"$52,000.00 ","$91,600.00 ","$52,500.00 ","$63,300.00 ","$128,000.00 ","$192,000.00 ",MD
Evergreen State College,Western,"$39,500.00 ","$63,900.00 ","$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 ",WA
Fairleigh Dickinson University,Northeastern,"$45,700.00 ","$78,700.00 ","$40,200.00 ","$56,300.00 ","$112,000.00 ","$171,000.00 ",NY
Fashion Institute of Technology,Northeastern,"$42,800.00 ","$81,000.00 ","$38,800.00 ","$60,500.00 ","$106,000.00 ","$138,000.00 ",MA
Fitchburg State College,Northeastern,"$42,400.00 ","$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 ",MA
Florida Atlantic University (FAU),Southern,"$42,600.00 ","$71,100.00 ","$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 ",VA
Florida International University (FIU),Southern,"$43,200.00 ","$75,500.00 ","$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 ",FL
Florida Metropolitan University (FMU),Southern,"$36,600.00 ","$51,000.00 ","$32,800.00 ","$36,800.00 ","$70,400.00 ","$102,000.00 ",FL
Florida State University (FSU),Southern,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 ",FL
Fordham University,Northeastern,"$47,800.00 ","$99,900.00 ","$48,600.00 ","$65,900.00 ","$142,000.00 ","$198,000.00 ",NY
Fort Lewis College,Western,"$42,000.00 ","$69,800.00 ",,"$55,000.00 ","$94,000.00 ",,VA
